caso,threads,repeticao,t_ms,total
05-worker-leitura-suja,10,1,245.02,39100
05-worker-leitura-suja,10,1,249.75,39200
05-worker-leitura-suja,10,1,250.51,39100
05-worker-leitura-suja,10,1,258.69,39200
05-worker-leitura-suja,10,1,259.4,39100
05-worker-leitura-suja,10,1,261.08,39300
05-worker-leitura-suja,10,1,261.27,39500
05-worker-leitura-suja,10,1,262.48,39800
05-worker-leitura-suja,10,1,262.7,39700
05-worker-leitura-suja,10,1,262.95,39600
05-worker-leitura-suja,10,1,263.19,39400
05-worker-leitura-suja,10,1,264.05,39300
05-worker-leitura-suja,10,1,264.55,39200
05-worker-leitura-suja,10,1,266.99,39300
05-worker-leitura-suja,10,1,267.69,39200
05-worker-leitura-suja,10,1,275.48,39300
05-worker-leitura-suja,10,1,279.87,39400
05-worker-leitura-suja,10,1,280.9,39500
05-worker-leitura-suja,10,1,281.27,39600
05-worker-leitura-suja,10,1,282.2,39800
05-worker-leitura-suja,10,1,285.21,39900
05-worker-leitura-suja,10,1,298.62,40000
05-worker-leitura-suja,10,1,300.75,40000
05-worker-leitura-suja,16,1,5.24,40000
05-worker-leitura-suja,16,1,211.61,39900
05-worker-leitura-suja,16,1,214.3,39800
05-worker-leitura-suja,16,1,230.5,39700
05-worker-leitura-suja,16,1,235.13,39600
05-worker-leitura-suja,16,1,254.69,39500
05-worker-leitura-suja,16,1,261.56,39400
05-worker-leitura-suja,16,1,269.15,39200
05-worker-leitura-suja,16,1,270.28,39300
05-worker-leitura-suja,16,1,285.69,39200
05-worker-leitura-suja,16,1,287.07,39100
05-worker-leitura-suja,16,1,291.42,39000
05-worker-leitura-suja,16,1,293.69,38900
05-worker-leitura-suja,16,1,311.18,39000
05-worker-leitura-suja,16,1,314.68,39100
05-worker-leitura-suja,16,1,315.34,39400
05-worker-leitura-suja,16,1,322.24,39300
05-worker-leitura-suja,16,1,327.6,39200
05-worker-leitura-suja,16,1,328.41,38800
05-worker-leitura-suja,16,1,329.85,38700
05-worker-leitura-suja,16,1,332.29,38800
05-worker-leitura-suja,16,1,334.85,38900
05-worker-leitura-suja,16,1,335.86,38800
05-worker-leitura-suja,16,1,340.36,38600
05-worker-leitura-suja,16,1,347.59,38500
05-worker-leitura-suja,16,1,348.3,38600
05-worker-leitura-suja,16,1,348.84,38700
